Date,Description,Amount
7/19/2023,ATH MOVIL 6563 ON 07/18/23,-275
7/19/2023,EFT PMT BARCLAYCARD US CREDITCARD XXXXXXXXXXX4359,-5103.63
7/21/2023,ATH MOVIL 5865 ON 07/20/23,16
7/21/2023,EFT PMT AM NAT INS CO ANICO PYMT XXXXXXXXXXX5345,-1683.34
7/21/2023,EFT PMT PENTAGON FEDERAL TRNSFR DR XXXXXXXXXXX5014,-49998
7/21/2023,CHEQUE NUMERO 1897,-178.4
7/24/2023,EFT PMT PENTAGON FEDERAL TRNSFR DR XXXXXXXXXXX5014,-49888
7/26/2023,EFT PMT PENTAGON FEDERAL TRNSFR DR XXXXXXXXXXX5014,-49567
7/31/2023,ATH MOVIL 9046 ON 07/31/23,175
7/31/2023,EFT DEPOSIT DISCOVER CASH AWARD XXXXXXXXXXX6509,58.49
7/31/2023,EFT DEPOSIT DISCOVER CASH AWARD XXXXXXXXXXX6508,19.58
7/31/2023,INTERESES PAGADOS,13.98
